"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity","fecundity_mean","fertilization","reproductionmode","class","order","family","genus","species","maturityage","adultlifespan","generationtime"
"1","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina","34.8","-70",NA,"2000/2001","control region","23","890","1","NA","0.053","NA","mtdna101","250","6e+06","6e+06","external","dioecism","Actinopteri","Scombriformes","Scombridae","Acanthocybium","solandri","2.39684386344113","8.00952139554984","139.752152302511"
"2","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida","28.304","-75",NA,"2001","control region","30","890","1","NA","0.055","NA","mtdna101","250","6e+06","6e+06","external","dioecism","Actinopteri","Scombriformes","Scombridae","Acanthocybium","solandri","2.39684386344113","8.00952139554984","139.752152302511"
"3","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico","29.229","-84",NA,"1998-2000","control region","54","890","0.999","NA","0.055","NA","mtdna101","250","6e+06","6e+06","external","dioecism","Actinopteri","Scombriformes","Scombridae","Acanthocybium","solandri","2.39684386344113","8.00952139554984","139.752152302511"
"4","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida","25.205","-76",NA,"2000/2001","control region","21","890","0.995","NA","0.049","NA","mtdna101","250","6e+06","6e+06","external","dioecism","Actinopteri","Scombriformes","Scombridae","Acanthocybium","solandri","2.39684386344113","8.00952139554984","139.752152302511"
"5","Aetobatus narinari","Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","USA","Florida","27.344437","-82.567594",NA,"2009-2011","cytb","169","580","0.71","NA","0.0024","NA","mtdna102","230","1","1","internal (oviduct)","dioecism","Chondrichthyes","Myliobatiformes","Myliobatidae","Aetobatus","narinari","5.80909150752101","15.3442290605108","4899538.64537719"
"6","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","OR","45.8355555555556","-124.801666666667","SABLEFPCOAST","","cytochrome c oxidase subunit I","13","353","0.5","0.037719613","0.0015","0.00011094","mtdna101","120","c(NA, 1e+06, 1e+06)","1e+06","external","dioecism","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma","fimbria","4.93307839711094","18.8687948344667","45889.6088573264"
"7","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Apalachicola","29.718192","-84.9814",NA,"1999","control region","60","470","NA","NA","0.04","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"8","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Cedar Keys","29.135342","-83.042618",NA,"1998","control region","33","470","NA","NA","0.039","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"9","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Charleston","32.76209","-79.886029",NA,"2001","control region","23","470","NA","NA","0.032","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"10","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Corpus Christi","27.799609","-97.330457",NA,"1999","control region","31","470","NA","NA","0.04","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"11","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Florida Bay","25.037202","-80.725444",NA,"1996","control region","30","470","NA","NA","0.043","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"12","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Fort Walton","30.426693","-86.583054",NA,"1997","control region","25","470","NA","NA","0.034","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"13","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Indian River","27.691957","-80.351466",NA,"1999","control region","36","470","NA","NA","0.034","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"14","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Morehead City","34.715791","-76.72042",NA,"1999","control region","36","470","NA","NA","0.033","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"15","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Johns River","30.40297","-81.395411",NA,"2001","control region","29","470","NA","NA","0.031","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"16","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Simmons & Cumberland Islands","31.001457","-81.3979225",NA,"1998","control region","31","470","NA","NA","0.031","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"17","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Steinhatchee","29.67132","-83.392316",NA,"1999","control region","28","470","NA","NA","0.042","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"18","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Tampa Bay","27.739577","-82.59122",NA,"1999","control region","38","470","NA","NA","0.039","NA","mtdna102","91",NA,"NaN",NA,NA,"Actinopteri","Spariformes","Sparidae","Archosargus","probatocephalus","2.40456261299559","10.2384550772922","170.97901805342"
"19","Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","Louisiana","27","-91","GTRIGGM","2008.5","ND4","29","617","0.81505","NA","0.00345","NA","mtdna101","60",NA,"NaN","external","dioecism","Actinopteri","Tetraodontiformes","Balistidae","Balistes","capriscus","1.86870705602434","5.33763908066106","24.2729326706127"
"20","Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South-eastern Florida","26.0833333333333","-80",NA,"2008.5","ND4","29","617","0.90726","NA","0.00403","NA","mtdna101","60",NA,"NaN","external","dioecism","Actinopteri","Tetraodontiformes","Balistidae","Balistes","capriscus","1.86870705602434","5.33763908066106","24.2729326706127"
"21","Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Carolina","33.0833333333333","-79",NA,"2008.5","ND4","29","617","0.88736","NA","0.00393","NA","mtdna101","60",NA,"NaN","external","dioecism","Actinopteri","Tetraodontiformes","Balistidae","Balistes","capriscus","1.86870705602434","5.33763908066106","24.2729326706127"
"22","Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Texas","26.0188888888889","-97.0011111111111","GTRIGGM","2008.5","ND4","29","617","0.89195","NA","0.00451","NA","mtdna101","60",NA,"NaN","external","dioecism","Actinopteri","Tetraodontiformes","Balistidae","Balistes","capriscus","1.86870705602434","5.33763908066106","24.2729326706127"
"23","Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","West Florida","30.150349","-86.485161","GTRIGGM","2008.5","ND4","29","617","0.87957","NA","0.003386","NA","mtdna101","60",NA,"NaN","external","dioecism","Actinopteri","Tetraodontiformes","Balistidae","Balistes","capriscus","1.86870705602434","5.33763908066106","24.2729326706127"
"24","Beryx decadactylus","Alfonsino","Friess & Sedberry 2011 Journal of Fish Biology 78:466-478","United States","Charleston Bump ","32.0936","-75.9942",NA,"2005","control region","141","403","0.799","NA","0.0041","NA","mtdna101","100",NA,"NaN","external","dioecism","Actinopteri","Beryciformes","Berycidae","Beryx","decadactylus","6.87527494827256","20.7911523925137","752432.415452632"
"25","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","CT","41.1","-72.8","BSBASSMATLC","","control region","13","342","0.641","0.041602515","0.002","0.0005547","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"26","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","FL","27.7","-80.4",NA,"","control region","53","342","0.861","0.005494423","0.007","0.000686803","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"27","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","GA","31.6","-80.7",NA,"","control region","40","342","0.887","0.006798897","0.008","0.000790569","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"28","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","GoM","29.5","-84.7",NA,"","control region","57","342","0.999","0.000529813","0.015","0.001059626","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"29","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","NC","34.3","-77.4",NA,"","control region","56","342","0.87","0.005077964","0.006","0.000534522","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"30","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","NJ","39.5","-73.8","BSBASSMATLC","","control region","28","342","0.442","0.021921939","0.003","0.000377964","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"31","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","OI","35.8","-75.4","BSBASSMATLC","","control region","8","342","0.25","0.06363961","0.001","0.000353553","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"32","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","SC32","32.3","-79.7",NA,"","control region","39","342","0.815","0.009767817","0.006","0.000640513","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"33","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","SC33","33.3","-78.7",NA,"","control region","40","342","0.846","0.008063808","0.005","0.000474342","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"34","Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","VA","36.9","-75.5","BSBASSMATLC","","control region","30","342","0.361","0.019900586","0.002","0.000365148","mtdna101","66",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Centropristis","striata","2.92612063613648","8.27937835672561","201.52959358093"
"35","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","United States","Coastal Washington, NE Pacific ","47.7511","-124.6",NA,"2005","control region","84","463","0.98","0.000872872","0.0238","0.001320218","mtdna101","46","c(12200, 28500, 37600, 38000, 41000, 41000, 134000)","47471.4285714286","external","dioecism","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii pallasii","3.81776192229001","10.981990546735","840.103501196476"
"36","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","AB","28","-96.9",NA,"2003-2005","control region","42","373","0.89","NA","0.006","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"37","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","CC","27.7","-97.2",NA,"2003-2005","control region","42","373","0.89","NA","0.007","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"38","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","EM","28.69","-95.8",NA,"2003-2005","control region","28","373","0.92","NA","0.007","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"39","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","LL","26.3","-97.27",NA,"2003-2005","control region","27","373","0.89","NA","0.007","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"40","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","MB","28.4","-96.35",NA,"2003-2005","control region","27","373","0.94","NA","0.007","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"41","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SB","28.27","-96.7",NA,"2003-2005","control region","40","373","0.9","NA","0.007","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"42","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SL","29.8","-93.8",NA,"2003-2005","control region","44","373","0.75","NA","0.005","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"43","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","UL","27.25","-97.4",NA,"2003-2005","control region","30","373","0.87","NA","0.006","NA","mtdna101","100","c(NA, 511859, 2882172)","1697015.5","external","dioecism","Actinopteri","Perciformes","Sciaenidae","Cynoscion","nebulosus","3.62080092948408","14.9298670435812","2885.57141511516"
"44","Engraulis eurystole","Silver anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","USA","USA","41.5","-66.1",NA,"2006","cytb","12","1045","0.909","NA","0.004","NA","mtdna102","15.5",NA,"NaN","external","dioecism","Actinopteri","Clupeiformes","Engraulidae","Engraulis","eurystole","1.10476260534983","4.25821525146225","14.196187945148"
"45","Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","USA","Florida","25.9166666666667","-81.6333333333333",NA,"","16S","30","590","0.303","NA","6e-04","NA","mtdna101","250",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Epinephelus","itajara","11.508681358826","33.6958360206378","451525079.869069"
"46","Epinephelus striatus","Nassau grouper","Jackson et al. 2014 PLoS ONE 9:e97508","USA","Florida Keys","24.766114","-80.982893",NA,"1994","ATPase, cytb","31","1419","0.817","NA","0.0011","NA","mtdna102","122",NA,"NaN","external","protogyny","Actinopteri","Perciformes","Serranidae","Epinephelus","striatus","6.91978468399802","19.1025757355132","140059.706967867"
"47","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Coastal Washington","47.0847222222222","-125.050833333333",NA,"2005","ND2, cytb","37","1509","0.9745","NA","0.003","NA","mtdna101","119","c(679500, 1e+06, 2e+06, 2e+06, 3e+06, 3e+06, 3300000, 4e+06, 5700000)","2742166.66666667","external","dioecism","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus","2.48573199936992","12.2938221007344","525.792571316386"
"48","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Puget Sound","47.583333","-122.5",NA,"2006","ND2, cytb","32","1509","0.9456","NA","0.004","NA","mtdna101","119","c(679500, 1e+06, 2e+06, 2e+06, 3e+06, 3e+06, 3300000, 4e+06, 5700000)","2742166.66666667","external","dioecism","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus","2.48573199936992","12.2938221007344","525.792571316386"
"49","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Strait of Georgia","48.9","-123.1","PCODWCVANI","2003","ND2, cytb","35","1509","0.9529","NA","0.004","NA","mtdna101","119","c(679500, 1e+06, 2e+06, 2e+06, 3e+06, 3e+06, 3300000, 4e+06, 5700000)","2742166.66666667","external","dioecism","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus","2.48573199936992","12.2938221007344","525.792571316386"
"50","Gadus macrocephalus","Pacific cod","Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ","Northwestern Pacific Ocean ","Gulf of Georgia","49.17593","-123.620235",NA,"2003","control region","20","452","0.42","0.12","0.00022","0.00044","mtdna101","119","c(679500, 1e+06, 2e+06, 2e+06, 3e+06, 3e+06, 3300000, 4e+06, 5700000)","2742166.66666667","external","dioecism","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus","2.48573199936992","12.2938221007344","525.792571316386"
"51","Gadus morhua","Atlantic cod","Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437","USA","Georges Bank","41.066253","-68.564823",NA,"1995","mitogenome","10","16575","1","NA","0.0022","NA","mtdna102","200","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 358500, 370900, 434200, 726000, 1887500, 2325000, 4472000, 5e+06, 5e+06, 6095700, 6123400, 6652390, 6898000, 6928000, 8635180, 9e+06, 9100000, 9100000, 25784161, 31700000)","7329546.55","external","dioecism","Actinopteri","Gadiformes","Gadidae","Gadus","morhua","2.52598552258364","14.5398226416423","10233.5558774007"
"52","Ginglymostoma cirratum","Nurse shark","Karl et al. 2012 Marine Biology 159:489-498","USA","FLD","29.380941","-83.199384",NA,"","control region, cytochrome c oxidase subunit I","37","1166","0.16","0.0132","1e-04","3.3e-05","mtdna101","430","21","21","internal (oviduct)","dioecism","Chondrichthyes","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","cirratum","12.954764342898","33.0383104658805","28419769877.8569"
"53","Hippocampus ingens","Pacific seahorse","Saarman et. al 2010 Conservation Genetics 11:1989-2000","USA","San Diego","34.18","-119.93",NA,"","control region","18","428","0.471","NA","0.0011","NA","mtdna101","30","400","400","in brood pouch or similar structure","dioecism","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","ingens","0.626317112432618","2.62214412973471","5.55034780715427"
"54","Holocentrus adscensionis","Squirrelfish","Bowen et al. 2006 Marine Biology 149:899-913","USA","Florida","25.086","-81.841437",NA,"1990-1997","cytb","7","769","1","NA","0.005","NA","mtdna101","61",NA,"NaN","external","dioecism","Actinopteri","Holocentriformes","Holocentridae","Holocentrus","adscensionis","1.0124813443115","2.719288003408","3.73568446224149"
"55","Leuresthes tenuis","California grunion","Johnson et al. 2009 Copeia 3: 465-474","United States","Crown Memorial State Beach, CA (SF)","37.75","-122.25",NA,"2006","control region","21","957","0.895","0.0133","0.002","0.000218","mtdna101","19","18000","18000","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes","tenuis","1.20650940571249","3.37572763531553","11.8463986403293"
"56","Leuresthes tenuis","California grunion","Johnson et al. 2009 Copeia 3: 465-474","United States","Doheny State Beach, CA (OC)","33.45","-117.6833",NA,"2006","control region","12","957","0.939","0.0167","0.002","0.000289","mtdna101","19","18000","18000","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes","tenuis","1.20650940571249","3.37572763531553","11.8463986403293"
